arm,bank_id,prompt,repeat,sensor_id,severity,spike_value,summary,fallback,attempts,latency_ms,input_tokens,output_tokens,replicated
llama3_2_3b__production,T01-typo50-v3,minor bearig wqobble on Machine 1,2,Xs2,LOW,0.53,[llama3.2:3b] Minor bearing vibration detected on Machine 1,False,1,10796.429634094238,1623,71,True
llama3_2_3b__production,T02-typo25-v1,slight motor temp druft on Machine 2,0,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature Xs3 showing slight drift,False,1,10862.750768661499,1622,72,False
llama3_2_3b__production,T02-typo25-v1,slight motor temp druft on Machine 2,1,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature Xs3 showing slight drift,False,1,10862.750768661499,1622,72,True
llama3_2_3b__production,T02-typo25-v1,slight motor temp druft on Machine 2,2,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature Xs3 showing slight drift,False,1,10862.750768661499,1622,72,True
llama3_2_3b__production,T02-typo25-v2,lsight motor temp drift on Machine 2,0,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature Xs3 showing elevated reading — possible motor winding issue,False,1,11838.903188705444,1622,77,False
llama3_2_3b__production,T02-typo25-v2,lsight motor temp drift on Machine 2,1,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature Xs3 showing elevated reading — possible motor winding issue,False,1,11838.903188705444,1622,77,True
llama3_2_3b__production,T02-typo25-v2,lsight motor temp drift on Machine 2,2,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature Xs3 showing elevated reading — possible motor winding issue,False,1,11838.903188705444,1622,77,True
llama3_2_3b__production,T02-typo25-v3,slight motor temp rrift on Machine 2,0,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature sensor Xs3 showing slight elevated reading — possible minor motor issue,False,1,12589.507341384888,1622,81,False
llama3_2_3b__production,T02-typo25-v3,slight motor temp rrift on Machine 2,1,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature sensor Xs3 showing slight elevated reading — possible minor motor issue,False,1,12589.507341384888,1622,81,True
llama3_2_3b__production,T02-typo25-v3,slight motor temp rrift on Machine 2,2,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature sensor Xs3 showing slight elevated reading — possible minor motor issue,False,1,12589.507341384888,1622,81,True
llama3_2_3b__production,T02-typo50-v1,slight motoe temp drifvt on Machine 2,0,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature sensor Xs3 showing slight drift,False,1,11014.412641525269,1624,73,False
llama3_2_3b__production,T02-typo50-v1,slight motoe temp drifvt on Machine 2,1,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature sensor Xs3 showing slight drift,False,1,11014.412641525269,1624,73,True
llama3_2_3b__production,T02-typo50-v1,slight motoe temp drifvt on Machine 2,2,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature sensor Xs3 showing slight drift,False,1,11014.412641525269,1624,73,True
llama3_2_3b__production,T02-typo50-v2,slighf motolr temp drift on Machine 2,0,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature Xs3 showing slight drift — possible minor issue,False,1,11415.517568588257,1625,76,False
llama3_2_3b__production,T02-typo50-v2,slighf motolr temp drift on Machine 2,1,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature Xs3 showing slight drift — possible minor issue,False,1,11415.517568588257,1625,76,True
llama3_2_3b__production,T02-typo50-v2,slighf motolr temp drift on Machine 2,2,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature Xs3 showing slight drift — possible minor issue,False,1,11415.517568588257,1625,76,True
llama3_2_3b__production,T02-typo50-v3,slihgt motor temp dxrift on Machine 2,0,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature Xs3 showing slight drift — possible bearing or motor issue,False,1,11894.001960754395,1625,78,False
llama3_2_3b__production,T02-typo50-v3,slihgt motor temp dxrift on Machine 2,1,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature Xs3 showing slight drift — possible bearing or motor issue,False,1,11894.001960754395,1625,78,True
llama3_2_3b__production,T02-typo50-v3,slihgt motor temp dxrift on Machine 2,2,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature Xs3 showing slight drift — possible bearing or motor issue,False,1,11894.001960754395,1625,78,True
llama3_2_3b__production,T03-typo25-v1,subtle pressuer creep on Machine 3,0,Xs4,MEDIUM,0.63,[llama3.2:3b] Oil pressure sensor Xs4 showing slight increase — possible bearing wear,False,1,12163.422584533691,1621,77,False
llama3_2_3b__production,T03-typo25-v1,subtle pressuer creep on Machine 3,1,Xs4,MEDIUM,0.63,[llama3.2:3b] Oil pressure sensor Xs4 showing slight increase — possible bearing wear,False,1,12163.422584533691,1621,77,True
llama3_2_3b__production,T03-typo25-v1,subtle pressuer creep on Machine 3,2,Xs4,MEDIUM,0.63,[llama3.2:3b] Oil pressure sensor Xs4 showing slight increase — possible bearing wear,False,1,12163.422584533691,1621,77,True
llama3_2_3b__production,T03-typo25-v2,subtpe pressure creep on Machine 3,0,Xs4,MEDIUM,0.73,[llama3.2:3b] Oil pressure sensor Xs4 showing elevated reading — possible bearing wear,False,1,11646.828889846802,1621,77,False
llama3_2_3b__production,T03-typo25-v2,subtpe pressure creep on Machine 3,1,Xs4,MEDIUM,0.73,[llama3.2:3b] Oil pressure sensor Xs4 showing elevated reading — possible bearing wear,False,1,11646.828889846802,1621,77,True
llama3_2_3b__production,T03-typo25-v2,subtpe pressure creep on Machine 3,2,Xs4,MEDIUM,0.73,[llama3.2:3b] Oil pressure sensor Xs4 showing elevated reading — possible bearing wear,False,1,11646.828889846802,1621,77,True
llama3_2_3b__production,T03-typo25-v3,subtlpe pressure creep on Machine 3,0,Xs4,MEDIUM,0.63,[llama3.2:3b] Oil pressure sensor Xs4 showing slight increase — possible minor wear,False,1,11745.769262313843,1622,77,False
llama3_2_3b__production,T03-typo25-v3,subtlpe pressure creep on Machine 3,1,Xs4,MEDIUM,0.63,[llama3.2:3b] Oil pressure sensor Xs4 showing slight increase — possible minor wear,False,1,11745.769262313843,1622,77,True
llama3_2_3b__production,T03-typo25-v3,subtlpe pressure creep on Machine 3,2,Xs4,MEDIUM,0.63,[llama3.2:3b] Oil pressure sensor Xs4 showing slight increase — possible minor wear,False,1,11745.769262313843,1622,77,True
llama3_2_3b__production,T03-typo50-v1,szubtle pressure creeo on Machine 3,0,Xs4,LOW,0.58,[llama3.2:3b] Oil pressure sensor Xs4 showing slight increase — possible minor leak,False,1,11861.921310424805,1623,76,False
llama3_2_3b__production,T03-typo50-v1,szubtle pressure creeo on Machine 3,1,Xs4,LOW,0.58,[llama3.2:3b] Oil pressure sensor Xs4 showing slight increase — possible minor leak,False,1,11861.921310424805,1623,76,True
llama3_2_3b__production,T03-typo50-v1,szubtle pressure creeo on Machine 3,2,Xs4,LOW,0.58,[llama3.2:3b] Oil pressure sensor Xs4 showing slight increase — possible minor leak,False,1,11861.921310424805,1623,76,True
llama3_2_3b__production,T03-typo50-v2,subtle pressurw rceep on Machine 3,0,Xs8,LOW,0.58,[llama3.2:3b] Hydraulic PSI sensor Xs8 showing slight increase — possible leak or blockage,False,1,12088.372945785522,1624,79,False
llama3_2_3b__production,T03-typo50-v2,subtle pressurw rceep on Machine 3,1,Xs8,LOW,0.58,[llama3.2:3b] Hydraulic PSI sensor Xs8 showing slight increase — possible leak or blockage,False,1,12088.372945785522,1624,79,True
llama3_2_3b__production,T03-typo50-v2,subtle pressurw rceep on Machine 3,2,Xs8,LOW,0.58,[llama3.2:3b] Hydraulic PSI sensor Xs8 showing slight increase — possible leak or blockage,False,1,12088.372945785522,1624,79,True
llama3_2_3b__production,T03-typo50-v3,eubtle pressure cree on Machine 3,0,Xs4,LOW,0.57,[llama3.2:3b] Oil pressure sensor Xs4 showing slight increase — possible minor leak,False,1,11474.259614944458,1622,76,False
llama3_2_3b__production,T03-typo50-v3,eubtle pressure cree on Machine 3,1,Xs4,LOW,0.57,[llama3.2:3b] Oil pressure sensor Xs4 showing slight increase — possible minor leak,False,1,11474.259614944458,1622,76,True
llama3_2_3b__production,T03-typo50-v3,eubtle pressure cree on Machine 3,2,Xs4,LOW,0.57,[llama3.2:3b] Oil pressure sensor Xs4 showing slight increase — possible minor leak,False,1,11474.259614944458,1622,76,True
llama3_2_3b__production,T04-typo25-v1,intermittent vibfation on Machine 4,0,Xs0,MEDIUM,0.73,[llama3.2:3b] Intermittent vibration detected on Machine 4 — possible imbalance or wear,False,1,12117.77949333191,1621,80,False
llama3_2_3b__production,T04-typo25-v1,intermittent vibfation on Machine 4,1,Xs0,MEDIUM,0.73,[llama3.2:3b] Intermittent vibration detected on Machine 4 — possible imbalance or wear,False,1,12117.77949333191,1621,80,True
llama3_2_3b__production,T04-typo25-v1,intermittent vibfation on Machine 4,2,Xs0,MEDIUM,0.73,[llama3.2:3b] Intermittent vibration detected on Machine 4 — possible imbalance or wear,False,1,12117.77949333191,1621,80,True
llama3_2_3b__production,T04-typo25-v2,intermittent vibratiopn on Machine 4,0,Xs0,MEDIUM,0.73,[llama3.2:3b] Intermittent vibration detected on Machine 4 — possible imbalance or wear,False,1,11879.592418670654,1622,80,False
llama3_2_3b__production,T04-typo25-v2,intermittent vibratiopn on Machine 4,1,Xs0,MEDIUM,0.73,[llama3.2:3b] Intermittent vibration detected on Machine 4 — possible imbalance or wear,False,1,11879.592418670654,1622,80,True
llama3_2_3b__production,T04-typo25-v2,intermittent vibratiopn on Machine 4,2,Xs0,MEDIUM,0.73,[llama3.2:3b] Intermittent vibration detected on Machine 4 — possible imbalance or wear,False,1,11879.592418670654,1622,80,True
llama3_2_3b__production,T04-typo25-v3,intefmittent vibration on Machine 4,0,Xs0,MEDIUM,0.73,[llama3.2:3b] Intermittent vibration on Machine 4 detected — possible imbalance or wear,False,1,12335.291147232056,1622,80,False
llama3_2_3b__production,T04-typo25-v3,intefmittent vibration on Machine 4,1,Xs0,MEDIUM,0.73,[llama3.2:3b] Intermittent vibration on Machine 4 detected — possible imbalance or wear,False,1,12335.291147232056,1622,80,True
llama3_2_3b__production,T04-typo25-v3,intefmittent vibration on Machine 4,2,Xs0,MEDIUM,0.73,[llama3.2:3b] Intermittent vibration on Machine 4 detected — possible imbalance or wear,False,1,12335.291147232056,1622,80,True
llama3_2_3b__production,T04-typo50-v1,intermittent ibration on Machine 4,0,Xs0,MEDIUM,0.73,[llama3.2:3b] Intermittent vibration detected on Machine 4 — possible imbalance or wear,False,1,10444.578170776367,1620,68,False
llama3_2_3b__production,T04-typo50-v1,intermittent ibration on Machine 4,1,Xs0,MEDIUM,0.73,[llama3.2:3b] Intermittent vibration detected on Machine 4 — possible imbalance or wear,False,1,10444.578170776367,1620,68,True
llama3_2_3b__production,T04-typo50-v1,intermittent ibration on Machine 4,2,Xs0,MEDIUM,0.73,[llama3.2:3b] Intermittent vibration detected on Machine 4 — possible imbalance or wear,False,1,10444.578170776367,1620,68,True
llama3_2_3b__production,T04-typo50-v2,intermittnet vibration on Machine 4,0,Xs0,MEDIUM,0.73,[llama3.2:3b] Intermittent vibration detected on Machine 4 — possible bearing or motor issue,False,1,10548.518419265747,1620,69,False
llama3_2_3b__production,T04-typo50-v2,intermittnet vibration on Machine 4,1,Xs0,MEDIUM,0.73,[llama3.2:3b] Intermittent vibration detected on Machine 4 — possible bearing or motor issue,False,1,10548.518419265747,1620,69,True
llama3_2_3b__production,T04-typo50-v2,intermittnet vibration on Machine 4,2,Xs0,MEDIUM,0.73,[llama3.2:3b] Intermittent vibration detected on Machine 4 — possible bearing or motor issue,False,1,10548.518419265747,1620,69,True
llama3_2_3b__production,T04-typo50-v3,intermittent vibraton on Machine 4,0,Xs0,MEDIUM,0.73,[llama3.2:3b] Intermittent vibration detected on Machine 4 — possible imbalance or wear,False,1,10169.515371322632,1620,68,False
llama3_2_3b__production,T04-typo50-v3,intermittent vibraton on Machine 4,1,Xs0,MEDIUM,0.73,[llama3.2:3b] Intermittent vibration detected on Machine 4 — possible imbalance or wear,False,1,10169.515371322632,1620,68,True
llama3_2_3b__production,T04-typo50-v3,intermittent vibraton on Machine 4,2,Xs0,MEDIUM,0.73,[llama3.2:3b] Intermittent vibration detected on Machine 4 — possible imbalance or wear,False,1,10169.515371322632,1620,68,True
llama3_2_3b__production,T05-typo25-v1,early sign of coolant fglow drop on Machine 5,0,W3,LOW,0.53,[llama3.2:3b] Coolant flow sensor W3 showing slight drop — possible pump seal issue,False,1,11462.960004806519,1625,76,False
llama3_2_3b__production,T05-typo25-v1,early sign of coolant fglow drop on Machine 5,1,W3,LOW,0.53,[llama3.2:3b] Coolant flow sensor W3 showing slight drop — possible pump seal issue,False,1,11462.960004806519,1625,76,True
llama3_2_3b__production,T05-typo25-v1,early sign of coolant fglow drop on Machine 5,2,W3,LOW,0.53,[llama3.2:3b] Coolant flow sensor W3 showing slight drop — possible pump seal issue,False,1,11462.960004806519,1625,76,True
llama3_2_3b__production,T05-typo25-v2,early sign of coolant flo drop on Machine 5,0,W3,LOW,0.53,[llama3.2:3b] Coolant flow sensor W3 showing slight drop — possible minor issue with coolant system on Machine 5,False,1,12788.710117340088,1623,84,False
llama3_2_3b__production,T05-typo25-v2,early sign of coolant flo drop on Machine 5,1,W3,LOW,0.53,[llama3.2:3b] Coolant flow sensor W3 showing slight drop — possible minor issue with coolant system on Machine 5,False,1,12788.710117340088,1623,84,True
llama3_2_3b__production,T05-typo25-v2,early sign of coolant flo drop on Machine 5,2,W3,LOW,0.53,[llama3.2:3b] Coolant flow sensor W3 showing slight drop — possible minor issue with coolant system on Machine 5,False,1,12788.710117340088,1623,84,True
llama3_2_3b__production,T05-typo25-v3,early sign of coolant flwo drop on Machine 5,0,W3,LOW,0.53,[llama3.2:3b] Coolant flow sensor W3 showing slight drop — possible pump seal issue.,False,1,11939.07117843628,1624,78,False
llama3_2_3b__production,T05-typo25-v3,early sign of coolant flwo drop on Machine 5,1,W3,LOW,0.53,[llama3.2:3b] Coolant flow sensor W3 showing slight drop — possible pump seal issue.,False,1,11939.07117843628,1624,78,True
llama3_2_3b__production,T05-typo25-v3,early sign of coolant flwo drop on Machine 5,2,W3,LOW,0.53,[llama3.2:3b] Coolant flow sensor W3 showing slight drop — possible pump seal issue.,False,1,11939.07117843628,1624,78,True
llama3_2_3b__production,T05-typo50-v1,earyl sign of coolatn flow drpo on Machine 5,0,W3,LOW,0.53,[llama3.2:3b] Coolant flow sensor W3 showing slight drop — possible minor issue,False,1,11213.599920272827,1627,75,False
llama3_2_3b__production,T05-typo50-v1,earyl sign of coolatn flow drpo on Machine 5,1,W3,LOW,0.53,[llama3.2:3b] Coolant flow sensor W3 showing slight drop — possible minor issue,False,1,11213.599920272827,1627,75,True
llama3_2_3b__production,T05-typo50-v1,earyl sign of coolatn flow drpo on Machine 5,2,W3,LOW,0.53,[llama3.2:3b] Coolant flow sensor W3 showing slight drop — possible minor issue,False,1,11213.599920272827,1627,75,True
llama3_2_3b__production,T05-typo50-v2,earyl sin of coolant flo drop on Machine 5,0,W3,MEDIUM,0.83,[llama3.2:3b] Coolant flow sensor W3 showing elevated drop — possible pump seal issue,False,1,11735.607385635376,1624,77,False
llama3_2_3b__production,T05-typo50-v2,earyl sin of coolant flo drop on Machine 5,1,W3,MEDIUM,0.83,[llama3.2:3b] Coolant flow sensor W3 showing elevated drop — possible pump seal issue,False,1,11735.607385635376,1624,77,True
llama3_2_3b__production,T05-typo50-v2,earyl sin of coolant flo drop on Machine 5,2,W3,MEDIUM,0.83,[llama3.2:3b] Coolant flow sensor W3 showing elevated drop — possible pump seal issue,False,1,11735.607385635376,1624,77,True
llama3_2_3b__production,T05-typo50-v3,arly sign of coolajt flow dro on Machine 5,0,W3,LOW,0.53,[llama3.2:3b] Coolant flow sensor W3 showing slight drop — possible minor issue,False,1,11213.032960891724,1626,75,False
llama3_2_3b__production,T05-typo50-v3,arly sign of coolajt flow dro on Machine 5,1,W3,LOW,0.53,[llama3.2:3b] Coolant flow sensor W3 showing slight drop — possible minor issue,False,1,11213.032960891724,1626,75,True
llama3_2_3b__production,T05-typo50-v3,arly sign of coolajt flow dro on Machine 5,2,W3,LOW,0.53,[llama3.2:3b] Coolant flow sensor W3 showing slight drop — possible minor issue,False,1,11213.032960891724,1626,75,True
llama3_2_3b__production,T06-typo25-v1,bearin temperature spike on Machine 1,0,Xs2,HIGH,0.93,[llama3.2:3b] Bearing temperature sensor Xs2 showing severe spike — possible bearing failure,False,1,11768.908500671387,1621,77,False
llama3_2_3b__production,T06-typo25-v1,bearin temperature spike on Machine 1,1,Xs2,HIGH,0.93,[llama3.2:3b] Bearing temperature sensor Xs2 showing severe spike — possible bearing failure,False,1,11768.908500671387,1621,77,True
llama3_2_3b__production,T06-typo25-v1,bearin temperature spike on Machine 1,2,Xs2,HIGH,0.93,[llama3.2:3b] Bearing temperature sensor Xs2 showing severe spike — possible bearing failure,False,1,11768.908500671387,1621,77,True
llama3_2_3b__production,T06-typo25-v2,bearing temperature szpike on Machine 1,0,Xs2,HIGH,0.92,[llama3.2:3b] Bearing temperature sensor Xs2 showing severe spike — possible bearing failure,False,1,11306.639671325684,1621,77,False
llama3_2_3b__production,T06-typo25-v2,bearing temperature szpike on Machine 1,1,Xs2,HIGH,0.92,[llama3.2:3b] Bearing temperature sensor Xs2 showing severe spike — possible bearing failure,False,1,11306.639671325684,1621,77,True
llama3_2_3b__production,T06-typo25-v2,bearing temperature szpike on Machine 1,2,Xs2,HIGH,0.92,[llama3.2:3b] Bearing temperature sensor Xs2 showing severe spike — possible bearing failure,False,1,11306.639671325684,1621,77,True
llama3_2_3b__production,T06-typo25-v3,bearijg temperature spike on Machine 1,0,Xs2,MEDIUM,0.93,[llama3.2:3b] Bearing temperature sensor Xs2 showing elevated reading — possible bearing overheating,False,1,11900.993585586548,1623,79,False
llama3_2_3b__production,T06-typo25-v3,bearijg temperature spike on Machine 1,1,Xs2,MEDIUM,0.93,[llama3.2:3b] Bearing temperature sensor Xs2 showing elevated reading — possible bearing overheating,False,1,11900.993585586548,1623,79,True
llama3_2_3b__production,T06-typo25-v3,bearijg temperature spike on Machine 1,2,Xs2,MEDIUM,0.93,[llama3.2:3b] Bearing temperature sensor Xs2 showing elevated reading — possible bearing overheating,False,1,11900.993585586548,1623,79,True
llama3_2_3b__production,T06-typo50-v1,nearing temperatuer spike on Machine 1,0,Xs3,MEDIUM,0.83,[llama3.2:3b] Motor temperature sensor Xs3 showing elevated reading — possible overheating issue,False,1,11090.605020523071,1622,72,False
llama3_2_3b__production,T06-typo50-v1,nearing temperatuer spike on Machine 1,1,Xs3,MEDIUM,0.83,[llama3.2:3b] Motor temperature sensor Xs3 showing elevated reading — possible overheating issue,False,1,11090.605020523071,1622,72,True
llama3_2_3b__production,T06-typo50-v1,nearing temperatuer spike on Machine 1,2,Xs3,MEDIUM,0.83,[llama3.2:3b] Motor temperature sensor Xs3 showing elevated reading — possible overheating issue,False,1,11090.605020523071,1622,72,True
llama3_2_3b__production,T06-typo50-v2,bearing tempdrature spiker on Machine 1,0,Xs2,HIGH,0.93,[llama3.2:3b] Bearing temperature sensor Xs2 showing severe spike — possible bearing failure,False,1,11665.424823760986,1623,77,False
llama3_2_3b__production,T06-typo50-v2,bearing tempdrature spiker on Machine 1,1,Xs2,HIGH,0.93,[llama3.2:3b] Bearing temperature sensor Xs2 showing severe spike — possible bearing failure,False,1,11665.424823760986,1623,77,True
llama3_2_3b__production,T06-typo50-v2,bearing tempdrature spiker on Machine 1,2,Xs2,HIGH,0.93,[llama3.2:3b] Bearing temperature sensor Xs2 showing severe spike — possible bearing failure,False,1,11665.424823760986,1623,77,True
llama3_2_3b__production,T06-typo50-v3,earing temperatrue spike on Machine 1,0,Xs3,MEDIUM,0.87,[llama3.2:3b] Motor temperature sensor Xs3 showing elevated reading — possible bearing overheating,False,1,10918.58172416687,1623,72,False
llama3_2_3b__production,T06-typo50-v3,earing temperatrue spike on Machine 1,1,Xs3,MEDIUM,0.87,[llama3.2:3b] Motor temperature sensor Xs3 showing elevated reading — possible bearing overheating,False,1,10918.58172416687,1623,72,True
llama3_2_3b__production,T06-typo50-v3,earing temperatrue spike on Machine 1,2,Xs3,MEDIUM,0.87,[llama3.2:3b] Motor temperature sensor Xs3 showing elevated reading — possible bearing overheating,False,1,10918.58172416687,1623,72,True
llama3_2_3b__production,T07-typo25-v1,otor temp anomaly on Machine 2,0,Xs9,MEDIUM,0.83,[llama3.2:3b] Oil Temp Xs9 showing elevated reading — possible overheating issue,False,1,11532.021045684814,1621,77,False
llama3_2_3b__production,T07-typo25-v1,otor temp anomaly on Machine 2,1,Xs9,MEDIUM,0.83,[llama3.2:3b] Oil Temp Xs9 showing elevated reading — possible overheating issue,False,1,11532.021045684814,1621,77,True
llama3_2_3b__production,T07-typo25-v1,otor temp anomaly on Machine 2,2,Xs9,MEDIUM,0.83,[llama3.2:3b] Oil Temp Xs9 showing elevated reading — possible overheating issue,False,1,11532.021045684814,1621,77,True
llama3_2_3b__production,T07-typo25-v2,motor temp anhomaly on Machine 2,0,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature Xs3 showing elevated reading — possible motor overheating,False,1,11697.16763496399,1622,77,False
llama3_2_3b__production,T07-typo25-v2,motor temp anhomaly on Machine 2,1,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature Xs3 showing elevated reading — possible motor overheating,False,1,11697.16763496399,1622,77,True
llama3_2_3b__production,T07-typo25-v2,motor temp anhomaly on Machine 2,2,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature Xs3 showing elevated reading — possible motor overheating,False,1,11697.16763496399,1622,77,True
llama3_2_3b__production,T07-typo25-v3,motor tem anomaly on Machine 2,0,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature sensor Xs3 showing elevated reading — possible motor overheating issue.,False,1,10748.95167350769,1620,69,False
llama3_2_3b__production,T07-typo25-v3,motor tem anomaly on Machine 2,1,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature sensor Xs3 showing elevated reading — possible motor overheating issue.,False,1,10748.95167350769,1620,69,True
llama3_2_3b__production,T07-typo25-v3,motor tem anomaly on Machine 2,2,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature sensor Xs3 showing elevated reading — possible motor overheating issue.,False,1,10748.95167350769,1620,69,True
llama3_2_3b__production,T07-typo50-v1,motor tmp aqnomaly on Machine 2,0,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature Xs3 showing elevated reading — possible motor issue,False,1,11581.398010253906,1623,76,False
llama3_2_3b__production,T07-typo50-v1,motor tmp aqnomaly on Machine 2,1,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature Xs3 showing elevated reading — possible motor issue,False,1,11581.398010253906,1623,76,True
llama3_2_3b__production,T07-typo50-v1,motor tmp aqnomaly on Machine 2,2,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature Xs3 showing elevated reading — possible motor issue,False,1,11581.398010253906,1623,76,True
llama3_2_3b__production,T07-typo50-v2,motor tmep anomal on Machine 2,0,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature sensor Xs3 showing elevated reading — possible motor overheating,False,1,11805.139064788818,1621,78,False
llama3_2_3b__production,T07-typo50-v2,motor tmep anomal on Machine 2,1,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature sensor Xs3 showing elevated reading — possible motor overheating,False,1,11805.139064788818,1621,78,True
llama3_2_3b__production,T07-typo50-v2,motor tmep anomal on Machine 2,2,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature sensor Xs3 showing elevated reading — possible motor overheating,False,1,11805.139064788818,1621,78,True
llama3_2_3b__production,T07-typo50-v3,moto tenp anomaly on Machine 2,0,Xs3,MEDIUM,0.83,[llama3.2:3b] Motor temperature sensor Xs3 showing elevated reading — possible motor issue,False,1,11552.109956741333,1621,77,False
