variant,prompt,machine_id,expected_status,actual_status,status_match,rul,sensor_id,severity,spike_value,rubric_aggregate,latency_ms,hit,status
V2_no_correlations,catastrophic bearing failure on Machine 1,1.0,OFFLINE,ONLINE,False,68.89909362792969,Xs2,HIGH,0.93,5.0,1252.9654502868652,,
V2_no_correlations,complete motor breakdown on Machine 2,2.0,OFFLINE,ONLINE,False,71.08157348632812,W0,HIGH,0.96,5.0,1348.5701084136963,,
V2_no_correlations,oil pressure rupture on Machine 3,3.0,OFFLINE,ONLINE,False,71.04814147949219,Xs4,HIGH,0.93,5.0,1354.6836376190186,,
V2_no_correlations,explosion in Machine 4,4.0,OFFLINE,ONLINE,False,67.70308685302734,Xs2,HIGH,0.95,5.0,1363.7776374816895,,
V2_no_correlations,shaft lock on Machine 5,5.0,OFFLINE,ONLINE,False,71.07261657714844,W0,HIGH,0.95,5.0,1367.246150970459,,
V2_no_correlations,bearing overheat on metal press,1.0,ONLINE,ONLINE,True,70.90187072753906,Xs2,MEDIUM,0.78,5.0,1240.0026321411133,,
V2_no_correlations,oil pressure surge on QC line,5.0,ONLINE,ONLINE,True,71.1092300415039,Xs4,MEDIUM,0.78,5.0,1298.7489700317383,,
V2_no_correlations,catastrophic failure on paint and coat,2.0,OFFLINE,ONLINE,False,69.74468994140625,Xs2,HIGH,0.93,5.0,1540.8449172973633,,
V2_no_correlations,hi,1.0,REJECTED,REJECTED,True,,,,,,0.002384185791015625,,
V2_no_correlations,what is the weather today,1.0,REJECTED,REJECTED,True,,,,,,0.00667572021484375,,
V4_force_medium_multiplier,minor bearing wobble on Machine 1,1.0,ONLINE,ONLINE,True,70.93942260742188,Xs0,LOW,0.55,5.0,2798.3295917510986,,
V4_force_medium_multiplier,slight motor temp drift on Machine 2,2.0,ONLINE,ONLINE,True,70.3694839477539,Xs3,LOW,0.58,5.0,1695.2905654907227,,
V4_force_medium_multiplier,subtle pressure creep on Machine 3,3.0,ONLINE,ONLINE,True,70.68204498291016,Xs4,LOW,0.52,5.0,1771.2719440460205,,
V4_force_medium_multiplier,intermittent vibration on Machine 4,4.0,ONLINE,ONLINE,True,70.90331268310547,Xs0,MEDIUM,0.68,5.0,1770.9932327270508,,
V4_force_medium_multiplier,early sign of coolant flow drop on Machine 5,5.0,ONLINE,ONLINE,True,70.82405090332031,W3,LOW,0.61,5.0,1524.5110988616943,,
V4_force_medium_multiplier,bearing temperature spike on Machine 1,1.0,ONLINE,ONLINE,True,70.01570892333984,Xs2,MEDIUM,0.78,5.0,2843.5940742492676,,
V4_force_medium_multiplier,motor temp anomaly on Machine 2,2.0,ONLINE,ONLINE,True,70.04063415527344,Xs3,MEDIUM,0.78,5.0,1484.8251342773438,,
V4_force_medium_multiplier,oil pressure surge on Machine 3,3.0,ONLINE,ONLINE,True,70.28556060791016,Xs4,MEDIUM,0.78,5.0,1685.7237815856934,,
V4_force_medium_multiplier,vibration above normal on Machine 4,4.0,ONLINE,ONLINE,True,70.949462890625,Xs0,MEDIUM,0.71,5.0,1789.623737335205,,
V4_force_medium_multiplier,coolant flow disruption on Machine 5,5.0,ONLINE,ONLINE,True,70.78601837158203,W3,MEDIUM,0.76,5.0,1833.571434020996,,
V4_force_medium_multiplier,catastrophic bearing failure on Machine 1,1.0,OFFLINE,ONLINE,False,68.76985168457031,Xs2,HIGH,0.96,5.0,1750.225305557251,,
V4_force_medium_multiplier,complete motor breakdown on Machine 2,2.0,OFFLINE,ONLINE,False,70.6474838256836,W0,HIGH,0.96,5.0,2343.541145324707,,
V4_force_medium_multiplier,oil pressure rupture on Machine 3,3.0,OFFLINE,ONLINE,False,69.96603393554688,Xs4,HIGH,0.93,5.0,1502.4828910827637,,
V4_force_medium_multiplier,explosion in Machine 4,4.0,OFFLINE,ONLINE,False,69.13652801513672,Xs2,HIGH,0.94,5.0,1585.3216648101807,,
V4_force_medium_multiplier,shaft lock on Machine 5,5.0,OFFLINE,ONLINE,False,70.64517211914062,W0,HIGH,0.92,5.0,2163.283109664917,,
V4_force_medium_multiplier,bearing overheat on metal press,1.0,ONLINE,ONLINE,True,69.38877868652344,Xs2,MEDIUM,0.78,5.0,1809.927225112915,,
V4_force_medium_multiplier,oil pressure surge on QC line,5.0,ONLINE,ONLINE,True,70.32620239257812,Xs4,MEDIUM,0.78,5.0,1393.669605255127,,
V4_force_medium_multiplier,catastrophic failure on paint and coat,2.0,OFFLINE,ONLINE,False,69.52664184570312,Xs2,HIGH,0.91,5.0,1278.4359455108643,,
V4_force_medium_multiplier,hi,1.0,REJECTED,REJECTED,True,,,,,,0.0021457672119140625,,
V4_force_medium_multiplier,what is the weather today,1.0,REJECTED,REJECTED,True,,,,,,0.0064373016357421875,,
V0_full_sequence,bearing temperature spike on Machine 3,,,,,70.06607055664062,Xs2,MEDIUM,,,1253.0646324157715,1.0,ONLINE
V0_full_sequence,bearing temperature spike on Machine 3,,,,,1.1891658306121826,Xs2,MEDIUM,,,1205.7127952575684,2.0,OFFLINE
V0_full_sequence,bearing temperature spike on Machine 3,,,,,1.1891658306121826,Xs2,MEDIUM,,,1355.3543090820312,3.0,OFFLINE
V3_no_cumulative,bearing temperature spike on Machine 3,,,,,69.72161102294922,Xs2,MEDIUM,,,1633.3973407745361,1.0,ONLINE
V3_no_cumulative,bearing temperature spike on Machine 3,,,,,70.05358123779297,Xs2,MEDIUM,,,1064.4252300262451,2.0,ONLINE
V3_no_cumulative,bearing temperature spike on Machine 3,,,,,69.96562957763672,Xs2,MEDIUM,,,2148.6222743988037,3.0,ONLINE
