checkpoint,strategy,source,prompt,repeat,group,1,2,3,4,5,first_offline_hit,offline_hit1,offline_by3,offline_by_last,meets_target
pronostia,agentic,simulator,coolant flow disruption on Machine 5,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,early sign of coolant flow drop on Machine 5,0,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,agentic,simulator,early sign of coolant flow drop on Machine 5,1,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,agentic,simulator,early sign of coolant flow drop on Machine 5,2,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,agentic,simulator,explosion in Machine 4,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,explosion in Machine 4,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,explosion in Machine 4,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,intermittent vibration on Machine 4,0,LOW,ONLINE,ONLINE,ONLINE,DEGRADED,DEGRADED,,False,False,False,1.0
pronostia,agentic,simulator,intermittent vibration on Machine 4,1,LOW,ONLINE,DEGRADED,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,agentic,simulator,intermittent vibration on Machine 4,2,LOW,ONLINE,ONLINE,ONLINE,DEGRADED,DEGRADED,,False,False,False,1.0
pronostia,agentic,simulator,minor bearing wobble on Machine 1,0,LOW,ONLINE,ONLINE,DEGRADED,DEGRADED,DEGRADED,,False,False,False,1.0
pronostia,agentic,simulator,minor bearing wobble on Machine 1,1,LOW,ONLINE,ONLINE,ONLINE,DEGRADED,DEGRADED,,False,False,False,1.0
pronostia,agentic,simulator,minor bearing wobble on Machine 1,2,LOW,ONLINE,ONLINE,DEGRADED,DEGRADED,DEGRADED,,False,False,False,1.0
pronostia,agentic,simulator,motor temp anomaly on Machine 2,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,motor temp anomaly on Machine 2,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,motor temp anomaly on Machine 2,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,oil pressure rupture on Machine 3,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,oil pressure rupture on Machine 3,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,oil pressure rupture on Machine 3,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,oil pressure surge on Machine 3,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,oil pressure surge on Machine 3,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,oil pressure surge on Machine 3,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,oil pressure surge on QC line,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,oil pressure surge on QC line,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,oil pressure surge on QC line,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,shaft lock on Machine 5,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,shaft lock on Machine 5,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,shaft lock on Machine 5,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,slight motor temp drift on Machine 2,0,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,agentic,simulator,slight motor temp drift on Machine 2,1,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,agentic,simulator,slight motor temp drift on Machine 2,2,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,agentic,simulator,subtle pressure creep on Machine 3,0,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,agentic,simulator,subtle pressure creep on Machine 3,1,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,agentic,simulator,subtle pressure creep on Machine 3,2,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,agentic,simulator,vibration above normal on Machine 4,0,MEDIUM,ONLINE,DEGRADED,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,vibration above normal on Machine 4,1,MEDIUM,ONLINE,DEGRADED,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,vibration above normal on Machine 4,2,MEDIUM,ONLINE,DEGRADED,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,bearing overheat on metal press,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,bearing overheat on metal press,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,bearing overheat on metal press,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,bearing temperature spike on Machine 1,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,bearing temperature spike on Machine 1,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,bearing temperature spike on Machine 1,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,catastrophic bearing failure on Machine 1,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,catastrophic bearing failure on Machine 1,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,catastrophic bearing failure on Machine 1,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,catastrophic failure on paint and coat,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,catastrophic failure on paint and coat,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,catastrophic failure on paint and coat,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,complete motor breakdown on Machine 2,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,complete motor breakdown on Machine 2,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,complete motor breakdown on Machine 2,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,coolant flow disruption on Machine 5,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,coolant flow disruption on Machine 5,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,coolant flow disruption on Machine 5,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,early sign of coolant flow drop on Machine 5,0,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,agentic,turbofan,early sign of coolant flow drop on Machine 5,1,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,agentic,turbofan,early sign of coolant flow drop on Machine 5,2,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,agentic,turbofan,explosion in Machine 4,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,explosion in Machine 4,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,explosion in Machine 4,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,intermittent vibration on Machine 4,0,LOW,ONLINE,ONLINE,DEGRADED,DEGRADED,DEGRADED,,False,False,False,1.0
pronostia,agentic,turbofan,intermittent vibration on Machine 4,1,LOW,ONLINE,ONLINE,ONLINE,DEGRADED,DEGRADED,,False,False,False,1.0
pronostia,agentic,turbofan,intermittent vibration on Machine 4,2,LOW,ONLINE,ONLINE,ONLINE,DEGRADED,DEGRADED,,False,False,False,1.0
pronostia,agentic,turbofan,minor bearing wobble on Machine 1,0,LOW,ONLINE,ONLINE,ONLINE,DEGRADED,DEGRADED,,False,False,False,1.0
pronostia,agentic,turbofan,minor bearing wobble on Machine 1,1,LOW,ONLINE,ONLINE,DEGRADED,DEGRADED,DEGRADED,,False,False,False,1.0
pronostia,agentic,turbofan,minor bearing wobble on Machine 1,2,LOW,ONLINE,ONLINE,DEGRADED,DEGRADED,DEGRADED,,False,False,False,1.0
pronostia,agentic,turbofan,motor temp anomaly on Machine 2,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,motor temp anomaly on Machine 2,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,motor temp anomaly on Machine 2,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,oil pressure rupture on Machine 3,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,oil pressure rupture on Machine 3,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,oil pressure rupture on Machine 3,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,oil pressure surge on Machine 3,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,oil pressure surge on Machine 3,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,oil pressure surge on Machine 3,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,oil pressure surge on QC line,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,oil pressure surge on QC line,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,oil pressure surge on QC line,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,shaft lock on Machine 5,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,shaft lock on Machine 5,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,shaft lock on Machine 5,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,slight motor temp drift on Machine 2,0,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,agentic,turbofan,slight motor temp drift on Machine 2,1,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,agentic,turbofan,slight motor temp drift on Machine 2,2,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,agentic,turbofan,subtle pressure creep on Machine 3,0,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,agentic,turbofan,subtle pressure creep on Machine 3,1,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,agentic,turbofan,subtle pressure creep on Machine 3,2,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,agentic,turbofan,vibration above normal on Machine 4,0,MEDIUM,ONLINE,DEGRADED,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,vibration above normal on Machine 4,1,MEDIUM,ONLINE,DEGRADED,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,turbofan,vibration above normal on Machine 4,2,MEDIUM,ONLINE,DEGRADED,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,bearing overheat on metal press,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,bearing overheat on metal press,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,bearing overheat on metal press,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,bearing temperature spike on Machine 1,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,bearing temperature spike on Machine 1,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,bearing temperature spike on Machine 1,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,catastrophic bearing failure on Machine 1,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,catastrophic bearing failure on Machine 1,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,catastrophic bearing failure on Machine 1,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,catastrophic failure on paint and coat,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,catastrophic failure on paint and coat,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,catastrophic failure on paint and coat,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,complete motor breakdown on Machine 2,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,complete motor breakdown on Machine 2,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,complete motor breakdown on Machine 2,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,coolant flow disruption on Machine 5,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,coolant flow disruption on Machine 5,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,coolant flow disruption on Machine 5,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,early sign of coolant flow drop on Machine 5,0,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,bge_m3_logreg,simulator,early sign of coolant flow drop on Machine 5,1,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,bge_m3_logreg,simulator,early sign of coolant flow drop on Machine 5,2,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,bge_m3_logreg,simulator,explosion in Machine 4,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,explosion in Machine 4,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,explosion in Machine 4,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,intermittent vibration on Machine 4,0,LOW,ONLINE,ONLINE,ONLINE,DEGRADED,DEGRADED,,False,False,False,1.0
pronostia,bge_m3_logreg,simulator,intermittent vibration on Machine 4,1,LOW,ONLINE,ONLINE,ONLINE,DEGRADED,DEGRADED,,False,False,False,1.0
pronostia,bge_m3_logreg,simulator,intermittent vibration on Machine 4,2,LOW,ONLINE,ONLINE,ONLINE,DEGRADED,DEGRADED,,False,False,False,1.0
pronostia,bge_m3_logreg,simulator,minor bearing wobble on Machine 1,0,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,bge_m3_logreg,simulator,minor bearing wobble on Machine 1,1,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,bge_m3_logreg,simulator,minor bearing wobble on Machine 1,2,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,bge_m3_logreg,simulator,motor temp anomaly on Machine 2,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,motor temp anomaly on Machine 2,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,motor temp anomaly on Machine 2,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,oil pressure rupture on Machine 3,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,oil pressure rupture on Machine 3,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,oil pressure rupture on Machine 3,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,oil pressure surge on Machine 3,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,oil pressure surge on Machine 3,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,oil pressure surge on Machine 3,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,oil pressure surge on QC line,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,oil pressure surge on QC line,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,oil pressure surge on QC line,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,shaft lock on Machine 5,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,shaft lock on Machine 5,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,shaft lock on Machine 5,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,slight motor temp drift on Machine 2,0,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,bge_m3_logreg,simulator,slight motor temp drift on Machine 2,1,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,bge_m3_logreg,simulator,slight motor temp drift on Machine 2,2,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,bge_m3_logreg,simulator,subtle pressure creep on Machine 3,0,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,bge_m3_logreg,simulator,subtle pressure creep on Machine 3,1,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,bge_m3_logreg,simulator,subtle pressure creep on Machine 3,2,LOW,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,1.0
pronostia,bge_m3_logreg,simulator,vibration above normal on Machine 4,0,MEDIUM,ONLINE,DEGRADED,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,vibration above normal on Machine 4,1,MEDIUM,ONLINE,DEGRADED,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,simulator,vibration above normal on Machine 4,2,MEDIUM,ONLINE,DEGRADED,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,turbofan,bearing overheat on metal press,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,turbofan,bearing overheat on metal press,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,turbofan,bearing overheat on metal press,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,turbofan,bearing temperature spike on Machine 1,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,turbofan,bearing temperature spike on Machine 1,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,turbofan,bearing temperature spike on Machine 1,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,turbofan,catastrophic bearing failure on Machine 1,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,turbofan,catastrophic bearing failure on Machine 1,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,turbofan,catastrophic bearing failure on Machine 1,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,turbofan,catastrophic failure on paint and coat,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,turbofan,catastrophic failure on paint and coat,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,turbofan,catastrophic failure on paint and coat,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,turbofan,complete motor breakdown on Machine 2,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,bge_m3_logreg,turbofan,complete motor breakdown on Machine 2,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
